"source_file","interval","BuyVolume","SellVolume","VWAP","Return","PIN"
"3","2023-07-26 01:30:00",105.05531,197.06813,29127.1227090828,-0.00115090126072869,0.133386305582002
"3","2023-07-26 01:45:00",84.25033,81.31418,29142.9399607597,0.000543042024265005,0.100854173079567
"3","2023-07-26 02:00:00",95.60848,123.58926,29144.2555464865,4.51425192014941e-05,0.114698982172197
"3","2023-07-26 02:15:00",70.32606,38.75359,29162.4213593599,0.000623306807217288,0.0840276575322832
"3","2023-07-26 02:30:00",174.9541,213.84881,29179.3839327296,0.000581658606487565,0.147438020642497
"3","2023-07-26 02:45:00",169.80611,75.25883,29238.1095966612,0.00201257381125703,0.122464929446749
"3","2023-07-26 03:00:00",481.16287,460.7093,29341.6660686987,0.00354183199481936,0
"3","2023-07-26 03:15:00",228.84041,355.70452,29279.1365045746,-0.00213108430781309,0.127427813365243
"3","2023-07-26 03:30:00",81.43227,137.84538,29229.181970375,-0.00170614779543728,0.115376487979504
"3","2023-07-26 03:45:00",59.90604,60.37677,29248.0043386931,0.000643958094249577,0.0870658149618311
"3","2023-07-26 04:00:00",52.54323,100.39385,29229.1017926856,-0.000646284983708149,0.0983891465303554
"3","2023-07-26 04:15:00",64.18551,193.10255,29220.7670234351,-0.000285153109033946,0.126846996358954
"3","2023-07-26 04:30:00",69.1499,115.57151,29219.3222990735,-4.94416987914176e-05,0.106767023968852
"3","2023-07-26 04:45:00",34.72982,31.292,29205.3810778527,-0.000477123359606683,0.0656574631586093
"3","2023-07-26 05:00:00",92.33211,83.56889,29209.4387763907,0.000138936674961777,0.103697517525265
"3","2023-07-26 05:15:00",93.1488,83.63082,29227.7553666758,0.000627077788973629,0.10393731178633
"3","2023-07-26 05:30:00",74.99261,74.81107,29241.5870593426,0.000473238279619053,0.0963420142240558
"3","2023-07-26 05:45:00",109.84821,148.8728,29266.8975265878,0.000865564074680405,0.12358175522601
"3","2023-07-26 06:00:00",72.21414,134.76871,29263.228496028,-0.000125364519981286,0.112766219114521
"3","2023-07-26 06:15:00",43.43431,110.98719,29263.2734774219,1.53713025261067e-06,0.100025028355738
"3","2023-07-26 06:30:00",292.25576,362.61032,29262.0394966948,-4.21682395855907e-05,0.12080299044478
"3","2023-07-26 06:45:00",98.79686,129.89499,29208.9723750037,-0.00181351411602906,0.116924522680791
"3","2023-07-26 07:00:00",68.98686,72.59684,29231.7859979065,0.000781048460380437,0.0938841666072292
"3","2023-07-26 07:15:00",72.1684,119.43342,29213.8960475308,-0.000612003330109889,0.108517263720574
"3","2023-07-26 07:30:00",62.0874,84.55752,29207.6025923762,-0.000215426766232292,0.0956607755927342
"3","2023-07-26 07:45:00",101.06947,49.02242,29209.9715416922,8.11072839181135e-05,0.0978196737731796
"3","2023-07-26 08:00:00",107.32485,123.65248,29227.6547330433,0.000605382012297467,0.117268499503599
"3","2023-07-26 08:15:00",66.51549,63.16583,29220.5052794257,-0.000244612634261461,0.0901593143286424
"3","2023-07-26 08:30:00",72.87666,78.4758,29231.8740346705,0.000389067715838458,0.0968122474575227
"3","2023-07-26 08:45:00",74.77881,77.96976,29228.3612136768,-0.000120170913074797,0.0972100990590573
"3","2023-07-26 09:00:00",49.80256,105.81936,29223.3327075106,-0.000172042015268982,0.0995688636337885
"3","2023-07-26 09:15:00",53.99643,134.96211,29206.9300199033,-0.000561287371686118,0.109506212879383
"3","2023-07-26 09:30:00",102.85534,184.3578,29188.737382828,-0.000622887686687921,0.13027053684996
"3","2023-07-26 09:45:00",81.19546,69.77538,29188.7621914311,8.49937524089661e-07,0.096747983893579
"3","2023-07-26 10:00:00",90.22147,99.40835,29179.4572239704,-0.00031878595603849,0.107288810292872
"3","2023-07-26 10:15:00",53.1224,98.58433,29186.2552372443,0.000232972574565621,0.097928821551466
"3","2023-07-26 10:30:00",70.00532,64.38797,29190.5314801907,0.00014651564278092,0.0916685604363032
"3","2023-07-26 10:45:00",27.3371,68.4667,29197.584928363,0.00024163479781256,0.0801263330450927
"3","2023-07-26 11:00:00",45.57382,67.21213,29200.0927101736,8.58900425069199e-05,0.0848623427099864
"3","2023-07-26 11:15:00",68.29756,164.59807,29206.8747764924,0.00023226180773187,0.120063046845609
"3","2023-07-26 11:30:00",58.19816,146.34193,29196.4552883286,-0.000356747794604491,0.113512721321515
"3","2023-07-26 11:45:00",99.4276,141.77992,29173.9697542336,-0.000770146028786564,0.119902695514925
"3","2023-07-26 12:00:00",84.17547,72.4583,29180.0970629993,0.000210026568795908,0.0983913386718392
"3","2023-07-26 12:15:00",99.33376,41.7378,29215.7585729633,0.00122211759224131,0.0956521683532384
"3","2023-07-26 12:30:00",143.75411,166.53784,29233.7725742189,0.000616585094330373,0.133624493568771
"3","2023-07-26 12:45:00",56.73441,46.26864,29224.6048257289,-0.000313601279707461,0.0810934447032758
"3","2023-07-26 13:00:00",333.67641,217.99168,29262.9597125458,0.00131241763731586,0.130609956056859
"3","2023-07-26 13:15:00",63.95903,105.29732,29256.9739389057,-0.000204551203942707,0.102571630787945
"3","2023-07-26 13:30:00",189.3821,144.02342,29270.3151988422,0.0004560027282523,0.138078065829167
"3","2023-07-26 13:45:00",208.19282,237.01796,29300.6890847517,0.00103770272725611,0.142543929276843
"3","2023-07-26 14:00:00",289.25647,430.79361,29269.6161961287,-0.00106048320341872,0.116242289415265
"3","2023-07-26 14:15:00",130.36379,130.37298,29281.0054342009,0.00038911470501954,0.123695713195911
"3","2023-07-26 14:30:00",213.5404,163.31776,29296.6854979491,0.000535502914455719,0.145591831886191
"3","2023-07-26 14:45:00",153.96449,301.78819,29272.9564302393,-0.000809957416906307,0.142748224570882
"3","2023-07-26 15:00:00",158.39917,182.95043,29284.7419882522,0.000402609078485019,0.13929704473415
"3","2023-07-26 15:15:00",138.34166,168.9327,29300.4291739161,0.000535677782996201,0.133119676502183
"3","2023-07-26 15:30:00",142.93756,133.31155,29320.9081957759,0.000698932487925249,0.126914045186121
"3","2023-07-26 15:45:00",90.58874,136.14973,29322.948047293,6.9569861324148e-05,0.116766372382717
"3","2023-07-26 16:00:00",92.31052,137.56001,29324.3506450327,4.78327669309354e-05,0.117462289717087
"3","2023-07-26 16:15:00",288.0487,424.4395,29335.7382289461,0.000388332006096029,0.116755465443032
"3","2023-07-26 16:30:00",184.97104,184.42534,29305.5065514957,-0.00103054087865325,0.144064857407137
"3","2023-07-26 16:45:00",97.51911,70.24449,29300.7693757674,-0.000161647972879751,0.101763910576035
"3","2023-07-26 17:00:00",121.64843,139.01002,29306.3940523378,0.000191963442947893,0.123739471478723
"3","2023-07-26 17:15:00",92.68054,103.51566,29306.4718146325,2.6534241816439e-06,0.108959939884103
"3","2023-07-26 17:30:00",64.74455,74.40991,29296.3754868892,-0.000344508469227641,0.0931836283824344
"3","2023-07-26 17:45:00",154.76971,209.10082,29284.2351377882,-0.00041439764814776,0.143474847597905
"3","2023-07-26 18:00:00",927.27368,623.49802,29342.4938694514,0.00198942302536424,0.082412077839703
"3","2023-07-26 18:15:00",343.17974,423.6705,29306.299052238,-0.00123352900317406,0.112713906450403
"3","2023-07-26 18:30:00",814.89584,825.39987,29384.3704709265,0.00266398082369126,0.0799646874944866
"3","2023-07-26 18:45:00",329.05228,386.5437,29377.9393076993,-0.000218863399970205,0.116137315655703
"3","2023-07-26 19:00:00",446.78753,618.47781,29281.0149022875,-0.00329922410134319,0
"3","2023-07-26 19:15:00",303.7691,229.46105,29305.6898529901,0.000842694516734715,0.132174546757343
"3","2023-07-26 19:30:00",206.56225,164.90944,29367.5737284308,0.00211166758916568,0.144609154281338
"3","2023-07-26 19:45:00",110.56752,122.11458,29383.3569839145,0.000537438183680513,0.117621175286136
"3","2023-07-26 20:00:00",318.42442,208.26975,29426.8218511467,0.00147923422282923,0.133238626466681
"3","2023-07-26 20:15:00",464.98598,370.06251,29500.2604315972,0.00249563411305316,0.108572662376035
"3","2023-07-26 20:30:00",784.44293,489.58697,29578.0507526159,0.00263693675515493,0.0902799834913701
"3","2023-07-26 20:45:00",731.89587,1123.41936,29627.1762545971,0.00166087692498971,0.0759647710985881
"3","2023-07-26 21:00:00",168.56556,150.40092,29614.0427884168,-0.000443291188719333,0.135213389890047
"3","2023-07-26 21:15:00",341.19122,477.92712,29557.3738963799,-0.00191358175720392,0.109688041988373
"3","2023-07-26 21:30:00",242.30758,243.82183,29511.1892159207,-0.00156254343234455,0.137235678207742
"3","2023-07-26 21:45:00",61.93739,98.7792,29495.0013011034,-0.00054853481840018,0.100096258429265
"3","2023-07-26 22:00:00",89.98534,101.42552,29489.8452311086,-0.000174811655104736,0.107757943155571
"3","2023-07-26 22:15:00",72.52466,128.27228,29479.7871148798,-0.000341070499012954,0.111048191949517
"3","2023-07-26 22:30:00",174.76234,212.5717,29452.4196699905,-0.000928346082780557,0.147190546612709
"3","2023-07-26 22:45:00",124.608,63.54224,29456.2432628175,0.000129822706243913,0.108207204401095
"3","2023-07-26 23:00:00",131.30342,162.05928,29487.6067210317,0.00106474739274519,0.130457237579785
"3","2023-07-26 23:15:00",318.08377,352.00326,29395.6159148205,-0.00311964301075581,0.119477654828618
"3","2023-07-26 23:30:00",136.90928,240.04522,29332.0795499587,-0.00216142315391236,0.14653600142129
"3","2023-07-26 23:45:00",170.00088,94.66899,29325.799391536,-0.000214105461293137,0.125667996428776
"3","2023-07-27",87.94275,93.56264,29335.4759324993,0.000329966826620963,0.105166137776392
"3","2023-07-27 00:15:00",72.08907,84.03556,29331.4389397816,-0.000137614699926954,0.0982478210421619
"3","2023-07-27 00:30:00",48.26554,68.01221,29337.4218915158,0.000203977436853089,0.0859935111816708
"3","2023-07-27 00:45:00",88.36383,56.8744,29323.6074173095,-0.000470882351468657,0.0955002045967557
"3","2023-07-27 01:00:00",121.73314,56.76159,29363.1899451692,0.00134985192293908,0.106017123524077
"3","2023-07-27 01:15:00",150.71104,102.76637,29400.6936615681,0.00127723576589913,0.122644467023693
"3","2023-07-27 01:30:00",58.68986,189.21675,29375.3834731208,-0.000860870452196515,0.125249138947781
"3","2023-07-27 01:45:00",48.06136,42.36488,29379.5490969236,0.000141806618683286,0.0762307490822059
"3","2023-07-27 02:00:00",52.9024,72.59711,29379.7113510491,5.52268943726503e-06,0.0890479176526553
"3","2023-07-27 02:15:00",59.32952,77.00179,29353.3834801265,-0.000896124220148131,0.0924347010685499
"3","2023-07-27 02:30:00",69.53964,25.66305,29368.3762903454,0.00051076940513706,0.0802042223754325
"3","2023-07-27 02:45:00",109.42165,48.83798,29406.9848381789,0.00131462997653755,0.100554143451081
"3","2023-07-27 03:00:00",72.19923,72.41841,29423.8328460698,0.00057292537754681,0.0947966970353721
"3","2023-07-27 03:15:00",51.47909,76.51151,29423.1711069493,-2.24899021150667e-05,0.0900045467005487
"3","2023-07-27 03:30:00",60.12222,81.92759,29439.4029956203,0.000551670267357569,0.0942729960349997
"3","2023-07-27 03:45:00",34.30022,87.61422,29429.7047303543,-0.000329431451699058,0.0897265881360388
"3","2023-07-27 04:00:00",110.26309,145.2697,29415.0806368427,-0.000496916080049011,0.122849669872608
"3","2023-07-27 04:15:00",52.02768,33.47293,29442.3464148115,0.000926931947100259,0.0746242512876234
"3","2023-07-27 04:30:00",85.59447,81.32628,29463.1490398671,0.000706554591895871,0.101233737699221
"3","2023-07-27 04:45:00",101.23284,150.06332,29472.6283605086,0.000321734809426773,0.122202438968934
"3","2023-07-27 05:00:00",117.44424,172.81134,29486.9415716067,0.00048564420257991,0.130214830657394
"3","2023-07-27 05:15:00",118.22224,199.05769,29477.3732243322,-0.000324494395296824,0.135830752692825
"3","2023-07-27 05:30:00",52.65918,122.70066,29462.5461131294,-0.000502999744581737,0.105534796374065
"3","2023-07-27 05:45:00",42.34209,65.99947,29472.5037886505,0.000337977426756526,0.0833955225715071
"3","2023-07-27 06:00:00",92.9494,57.50065,29466.4007503248,-0.000207075665150201,0.0971543819355405
"3","2023-07-27 06:15:00",21.5824,108.41164,29463.8726662199,-8.57954836856037e-05,0.0962726022184821
"3","2023-07-27 06:30:00",54.14773,234.46639,29425.3396762244,-0.00130780466071149,0.13627765574347
"3","2023-07-27 06:45:00",143.05573,184.82498,29391.1586374682,-0.00116161917355444,0.137042757040238
"3","2023-07-27 07:00:00",107.64357,105.89264,29401.2893940695,0.000344687214488123,0.113155833053204
"3","2023-07-27 07:15:00",94.90347,72.83835,29438.8124493874,0.00127623842665419,0.101651643981941
"3","2023-07-27 07:30:00",90.54976,107.53473,29449.7449591732,0.000371363817906386,0.109484428522734
"3","2023-07-27 07:45:00",138.31652,200.38134,29436.6327830746,-0.000445239037446403,0.139258012938952
"3","2023-07-27 08:00:00",93.09858,143.21844,29405.9186885968,-0.00104339700481782,0.11900530419343
"3","2023-07-27 08:15:00",87.85458,72.0549,29415.4557060094,0.000324323055968145,0.0993733977099311
"3","2023-07-27 08:30:00",80.36968,102.80075,29435.0784883248,0.000667090882815999,0.105769318243335
"3","2023-07-27 08:45:00",128.31139,84.48995,29455.6206425204,0.000697880055042395,0.11352234405738
"3","2023-07-27 09:00:00",76.50526,95.55716,29476.8567967137,0.000720954226393408,0.102776075589642
"3","2023-07-27 09:15:00",191.58154,126.24547,29512.1975434898,0.00119893199671322,0.135584331701889
"3","2023-07-27 09:30:00",84.78765,132.04431,29512.8932191827,2.35724802237717e-05,0.114548798565501
"3","2023-07-27 09:45:00",168.09361,127.18551,29545.5638377654,0.00110699477479484,0.13094905326372
"3","2023-07-27 10:00:00",120.41201,130.28473,29539.5228454678,-0.000204463598353061,0.121580320343952
"3","2023-07-27 10:15:00",85.16193,186.98167,29534.1653080763,-0.000181368447266366,0.128132544805676
"3","2023-07-27 10:30:00",75.51627,209.02963,29507.8823743628,-0.000889916252562678,0.132031299469845
"3","2023-07-27 10:45:00",83.17129,95.67416,29482.9207260716,-0.000845931537021897,0.104510269056923
"3","2023-07-27 11:00:00",65.17303,73.94859,29479.6310229675,-0.000111579959618798,0.0931645434115495
"3","2023-07-27 11:15:00",37.8095,56.35776,29484.4483866176,0.000163413295312929,0.0780162717553833
"3","2023-07-27 11:30:00",84.5499,74.13615,29503.8682339412,0.000658647130477924,0.0989641573547668
"3","2023-07-27 11:45:00",33.53516,68.79403,29514.2620154073,0.000352285381148944,0.0819192668666749
"3","2023-07-27 12:00:00",104.33334,127.28456,29491.8592145322,-0.000759050009904635,0.11747648637245
"3","2023-07-27 12:15:00",128.40668,95.22721,29490.7181449305,-3.86910026043149e-05,0.115806977525962
"3","2023-07-27 12:30:00",87.9141,112.49736,29475.2130059848,-0.000525763356102365,0.110157510419023
"3","2023-07-27 12:45:00",90.83057,63.45241,29481.3553743381,0.000208390974208657,0.0980033563949805
"3","2023-07-27 13:00:00",64.66456,108.35932,29475.4444224381,-0.000200497969816884,0.103654054872273
"3","2023-07-27 13:15:00",84.229,74.10039,29462.2813236203,-0.00044657846813514,0.0988600492534595
"3","2023-07-27 13:30:00",121.22158,165.18149,29478.688940629,0.000556902462116334,0.129266628173735
"3","2023-07-27 13:45:00",285.65156,162.6645,29454.7456839757,-0.000812222575485703,0.143249489716584
"3","2023-07-27 14:00:00",129.95939,157.77189,29422.5173208106,-0.00109416538546703,0.129326892820584
"3","2023-07-27 14:15:00",230.40166,234.69875,29404.9532562846,-0.000596959951946786,0.139853991906153
"3","2023-07-27 14:30:00",165.37876,229.58928,29377.7728971592,-0.000924346278957645,0.148702398411641
"3","2023-07-27 14:45:00",234.03549,330.1956,29350.6176215703,-0.000924347658483767,0.129129498523481
"3","2023-07-27 15:00:00",382.29629,482.5517,29293.3485774073,-0.00195120405646373,0.106903925794269
"3","2023-07-27 15:15:00",197.38359,144.0331,29298.8144859239,0.000186592137192524,0.139601384103168
"3","2023-07-27 15:30:00",151.60158,139.10038,29333.4757470713,0.00118302606284816,0.129806072790319
"3","2023-07-27 15:45:00",120.95698,191.30863,29327.205681478,-0.000213751198370472,0.13467176198833
"3","2023-07-27 16:00:00",140.61365,143.09047,29296.6417821641,-0.00104216881914577,0.128396798599398
"3","2023-07-27 16:15:00",81.35519,154.041,29282.6929748944,-0.000476123078319315,0.119502608440598
"3","2023-07-27 16:30:00",142.52472,110.22546,29311.4940288763,0.000983552093606363,0.122221141868771
"3","2023-07-27 16:45:00",95.40154,134.20195,29288.9563153247,-0.000768903609257164,0.117265411764564
"3","2023-07-27 17:00:00",116.01407,132.50783,29268.0708471712,-0.000713083386402379,0.121148603083938
"3","2023-07-27 17:15:00",239.73367,352.84697,29240.4199658042,-0.000944745607301788,0.126523232357616
"3","2023-07-27 17:30:00",149.03505,180.58798,29256.7823029077,0.000559579415160182,0.137253774557702
"3","2023-07-27 17:45:00",80.89481,104.39763,29234.7315541147,-0.000753696991168694,0.106335692954174
"3","2023-07-27 18:00:00",206.30035,239.98797,29206.1230327413,-0.000978579923693265,0.142420600853569
"3","2023-07-27 18:15:00",222.82918,234.78504,29187.5280133906,-0.000636682223442767,0.14083369583499
"3","2023-07-27 18:30:00",355.80248,416.00125,29131.0706073956,-0.00193429899130576,0.112332439543039
"3","2023-07-27 18:45:00",222.52244,253.32877,29171.0191815698,0.00137133903221691,0.13855776752295
"3","2023-07-27 19:00:00",208.32162,178.85278,29145.6412960953,-0.000869969105864765,0.147105458926998
"3","2023-07-27 19:15:00",65.15189,104.76609,29161.6867063291,0.000550525207899192,0.102689590662943
"3","2023-07-27 19:30:00",99.51432,110.21743,29120.3259387003,-0.00141832562860273,0.11227749525964
"3","2023-07-27 19:45:00",132.63954,99.30775,29141.6414600438,0.000731980864101138,0.117693442175758
